,train_loss
0,3.7673373222351074
1,3.7202682495117188
2,3.653073310852051
3,3.4475185871124268
4,3.496938943862915
5,3.340244770050049
6,3.381411075592041
7,3.316573143005371
8,3.2068231105804443
9,3.1636803150177
10,3.0616235733032227
11,3.1408889293670654
12,3.0937693119049072
13,2.9106667041778564
14,2.7792348861694336
15,2.866440773010254
16,2.7079172134399414
17,2.7051327228546143
18,2.571531057357788
19,2.499023675918579
20,2.5517096519470215
21,2.485342264175415
22,2.2450978755950928
23,2.3452415466308594
24,2.2342076301574707
25,2.3104119300842285
26,2.2098283767700195
27,2.0735204219818115
28,2.178199052810669
29,2.0436367988586426
30,1.8715447187423706
31,1.9908723831176758
32,1.911853551864624
33,1.6997368335723877
34,1.851071834564209
35,1.8425931930541992
36,1.8953588008880615
37,1.6895183324813843
38,1.6508411169052124
39,1.567286729812622
40,1.645956039428711
41,1.5756051540374756
42,1.434967279434204
43,1.5746901035308838
44,1.3761059045791626
45,1.4896670579910278
46,1.341876745223999
47,1.3737105131149292
48,1.362108588218689
49,1.2771542072296143
50,1.2870874404907227
51,1.244649887084961
52,1.271285891532898
53,1.1024924516677856
54,1.4377559423446655
55,1.1732897758483887
56,1.121469497680664
57,1.0881619453430176
58,1.0602226257324219
59,1.057248830795288
60,0.9842252135276794
61,1.0241421461105347
62,1.0015153884887695
63,1.0178159475326538
64,0.8412540555000305
65,0.9597721099853516
66,1.0434170961380005
67,0.9777058959007263
68,0.9561890959739685
69,0.9767085909843445
70,0.9254772067070007
71,0.7834926843643188
72,0.8832237124443054
73,0.9420952200889587
74,0.9384227395057678
75,0.9017769694328308
76,0.8951759934425354
77,0.9689366817474365
78,0.8147935271263123
79,0.7422086000442505
80,0.7097495794296265
81,0.8567371368408203
82,0.8671472072601318
83,0.7380879521369934
84,0.6960148811340332
85,0.7723339200019836
86,0.6551937460899353
87,0.801212728023529
88,0.7941343784332275
89,0.7601853013038635
90,0.6724966168403625
91,0.6530723571777344
92,0.7280630469322205
93,0.6421620845794678
94,0.6391220092773438
95,0.5901885032653809
96,0.655096709728241
97,0.7124392986297607
98,0.6237277984619141
99,0.5975461602210999
100,0.6321359872817993
101,0.8270902037620544
102,0.6107339262962341
103,0.5985051989555359
104,0.6300008893013
105,0.710175096988678
106,0.5745572447776794
107,0.558451235294342
108,0.6094342470169067
109,0.5275039076805115
110,0.5804910659790039
111,0.5336036682128906
112,0.5937610864639282
113,0.5058815479278564
114,0.5252437591552734
115,0.6460689306259155
116,0.4918658435344696
117,0.5430760383605957
118,0.5279689431190491
119,0.5828686952590942
120,0.5824854373931885
121,0.5586578845977783
122,0.5168619751930237
123,0.6247937679290771
124,0.505535364151001
125,0.5163836479187012
126,0.5449068546295166
127,0.5448015928268433
128,0.4627174139022827
129,0.5370922088623047
130,0.61518394947052
131,0.6442269682884216
132,0.6629577875137329
133,0.5037047863006592
134,0.46860554814338684
135,0.5687556862831116
136,0.5461907982826233
137,0.6361761093139648
138,0.5313956141471863
139,0.5090088844299316
140,0.4827096164226532
141,0.4187568426132202
142,0.44105640053749084
143,0.4857245981693268
144,0.40909844636917114
145,0.4887463450431824
146,0.43199053406715393
147,0.38319846987724304
148,0.36962905526161194
