,train_loss
0,3.823949098587036
1,3.8847265243530273
2,3.6402652263641357
3,3.6654574871063232
4,3.6186788082122803
5,3.665011167526245
6,3.713391065597534
7,3.561671257019043
8,3.395615816116333
9,3.2956597805023193
10,3.2751758098602295
11,3.2823569774627686
12,3.195070743560791
13,3.275259256362915
14,3.1209139823913574
15,3.1202995777130127
16,3.1096136569976807
17,3.1206793785095215
18,3.028846263885498
19,2.962071180343628
20,2.9220590591430664
21,2.8605356216430664
22,2.8374407291412354
23,2.7987353801727295
24,2.820981025695801
25,2.711578607559204
26,2.6456730365753174
27,2.660034656524658
28,2.570060968399048
29,2.6070175170898438
30,2.478515148162842
31,2.6195125579833984
32,2.3314459323883057
33,2.466280460357666
34,2.387213945388794
35,2.4398090839385986
36,2.3114728927612305
37,2.3680951595306396
38,2.398959159851074
39,2.3920109272003174
40,2.3201119899749756
41,2.1339595317840576
42,2.1536543369293213
43,2.0955405235290527
44,2.1508779525756836
45,2.1823840141296387
46,2.1043803691864014
47,2.218824863433838
48,1.9656574726104736
49,2.0020875930786133
50,1.9834561347961426
51,1.8229341506958008
52,1.8645402193069458
53,2.148481607437134
54,1.9470524787902832
55,1.846331000328064
56,1.8368746042251587
57,1.9709240198135376
58,1.831965684890747
59,1.8490794897079468
60,1.6951695680618286
61,1.858823299407959
62,1.6412280797958374
63,1.7785181999206543
64,1.5078579187393188
65,1.658271074295044
66,1.668574333190918
67,1.641932725906372
68,1.6576836109161377
69,1.4787425994873047
70,1.6194841861724854
71,1.5841476917266846
72,1.6717541217803955
73,1.6425350904464722
74,1.5403603315353394
75,1.5284397602081299
76,1.4124363660812378
77,1.6226154565811157
78,1.609671711921692
79,1.5523695945739746
80,1.5335490703582764
81,1.4179400205612183
82,1.5742324590682983
83,1.34544038772583
84,1.28989839553833
85,1.329390048980713
86,1.5704103708267212
87,1.5240427255630493
88,1.4876072406768799
89,1.51969575881958
90,1.385358214378357
91,1.4449936151504517
