,train_loss
0,3.757103204727173
1,3.646894931793213
2,3.8255410194396973
3,3.5718042850494385
4,3.501002550125122
5,3.433929204940796
6,3.3415639400482178
7,3.125103712081909
8,3.156754493713379
9,3.151129961013794
10,3.1120965480804443
11,3.1422154903411865
12,2.881995677947998
13,3.005176067352295
14,2.9020814895629883
15,2.822530508041382
16,2.836740016937256
17,2.7118420600891113
18,2.511327028274536
19,2.4317572116851807
20,2.3751566410064697
21,2.465235471725464
22,2.3125083446502686
23,2.3055777549743652
24,2.211509943008423
25,2.1297991275787354
26,2.14058780670166
27,2.1194632053375244
28,2.0332748889923096
29,2.2237043380737305
30,2.1647465229034424
31,1.9499608278274536
32,1.9301011562347412
33,1.6488474607467651
34,1.7992857694625854
35,1.8370128870010376
36,1.759605050086975
37,1.6633309125900269
38,1.6384156942367554
39,1.5918439626693726
40,1.7017900943756104
41,1.4722522497177124
42,1.4723670482635498
43,1.4230074882507324
44,1.3823808431625366
45,1.4856693744659424
46,1.2213990688323975
47,1.4331969022750854
48,1.2713924646377563
49,1.2283457517623901
50,1.2802176475524902
51,1.3365395069122314
52,1.1103206872940063
53,1.2472385168075562
54,1.081734538078308
55,1.1243976354599
56,1.262492060661316
57,1.1740435361862183
58,1.1203155517578125
59,1.108045220375061
60,0.9323513507843018
61,1.0024816989898682
62,1.0552232265472412
63,0.8599374294281006
64,1.004478931427002
65,1.0128649473190308
66,1.128039002418518
67,0.9687663912773132
68,1.0902401208877563
69,0.8510677814483643
70,0.9646347761154175
71,0.9201477766036987
72,1.0080761909484863
73,0.9014270305633545
74,0.8286385536193848
75,0.8828094601631165
76,0.7466756701469421
77,0.8422415852546692
78,0.8872122168540955
79,0.7844348549842834
80,0.8253042697906494
81,0.8306491374969482
82,0.8866339921951294
83,0.819532573223114
84,0.7929790019989014
85,0.8003463745117188
86,0.7546215057373047
87,0.741996705532074
88,0.8115538358688354
89,0.7854521870613098
90,0.703214168548584
91,0.6418039798736572
92,0.7300300002098083
93,0.5507681965827942
94,0.8487224578857422
95,0.7054977416992188
96,0.7129131555557251
97,0.742315411567688
98,0.603837251663208
